id,Soil type,Installion method,gamma (kN/m3),friction angle (°),wall interface friction angle (°),cohesion (kPa),ultimate bond strength (kPa),Nc,Nq,Ng,D (mm),Dout (mm),Din (mm),Bar #,fy (MPa),H (m),Wall batter angle (°),Nail length (m),Sv (m),Sh (m),Nail inclination (°),Cantilever distance (m),Tracción (kN),Ka,Displacement (mm),Eccentricity (m),FS SL,FS BC,FS global,Es suficiente
54,Piedmont residual,Rotary drilling,19.5,33,22,1.00,117,38.6,26.1,35.2,203,25.4,0,25,413.7,8,60,6,1.2,1.2,20,0.2,116.5,0.094,8,-4.3,2.5,37.2,1.45,VERDADERO
55,Piedmont residual,Rotary drilling,19.5,33,22,1.00,117,38.6,26.1,35.2,203,25.4,0,25,413.7,9,60,7,1.2,1.2,20,0.2,116.5,0.094,9,-4.8,2.4,37,1.49,VERDADERO
56,Piedmont residual,Rotary drilling,19.5,33,22,1.00,117,38.6,26.1,35.2,203,25.4,0,25,413.7,10,60,7,1.2,1.2,20,0.2,116.5,0.094,10,-5.3,2.3,35.8,1.45,VERDADERO
57,Calcareous sandy clay,Auger,16.5,27,18,20.00,90,23.9,13.2,14.5,203,25.4,0,25,413.7,3,70,3,1.4,1.4,10,0.1,62.3,0.208,9,-1,3.6,28.6,3.24,VERDADERO
58,Calcareous sandy clay,Auger,16.5,27,18,20.00,90,23.9,13.2,14.5,203,25.4,0,25,413.7,4,70,3,1.4,1.4,10,0.1,62.3,0.209,12,-1.2,2.6,23.5,2.48,VERDADERO
59,Calcareous sandy clay,Auger,16.5,27,18,20.00,90,23.9,13.2,14.5,203,25.4,0,25,413.7,5,70,4,1.4,1.4,10,0.1,62.7,0.208,15,-1.6,2.5,21.3,2.4,VERDADERO
60,Calcareous sandy clay,Auger,16.5,27,18,20.00,90,23.9,13.2,14.5,203,25.4,0,25,413.7,6,70,5,1.4,1.4,10,0.1,62.7,0.208,18,-1.8,2.4,19.7,2.28,VERDADERO
61,Calcareous sandy clay,Auger,16.5,27,18,20.00,90,23.9,13.2,14.5,203,25.4,0,25,413.7,7,70,6,1.4,1.4,10,0.1,62.7,0.210,21,-2.2,2.4,18.8,2.04,VERDADERO
62,Calcareous sandy clay,Auger,16.5,27,18,20.00,90,23.9,13.2,14.5,203,25.4,0,25,413.7,8,70,7,1.4,1.4,10,0.1,116.5,0.208,24,-2.5,2.3,18.1,2.03,VERDADERO
63,Calcareous sandy clay,Auger,16.5,27,18,20.00,90,23.9,13.2,14.5,203,25.4,0,25,413.7,9,70,8,1.4,1.4,10,0.1,116.5,0.209,27,-2.8,2.3,17.5,2.01,VERDADERO
64,Calcareous sandy clay,Auger,16.5,27,18,20.00,90,23.9,13.2,14.5,203,25.4,0,25,413.7,10,70,9,1.4,1.4,10,0.1,116.5,0.211,30,-3.1,2.2,16.6,1.84,VERDADERO
65,Stiff clay,Auger,16,24,16,10.00,62,19.3,9.6,9.4,203,25.4,0,25,413.7,3,65,3,1.5,1,15,0.15,92.7,0.226,6,-1.3,2.5,16.5,2.29,VERDADERO
66,Stiff clay,Auger,16,24,16,10.00,62,19.3,9.6,9.4,203,25.4,0,25,413.7,4,65,3,1.5,1,15,0.15,41.6,0.223,8,-1.6,1.9,14.2,1.87,VERDADERO
67,Stiff clay,Auger,16,24,16,10.00,62,19.3,9.6,9.4,203,25.4,0,25,413.7,5,65,4,1.5,1,15,0.15,41.8,0.225,10,-2,1.8,12.8,1.68,VERDADERO
68,Stiff clay,Auger,16,24,16,10.00,62,19.3,9.6,9.4,203,25.4,0,25,413.7,6,65,5,1.5,1,15,0.15,42,0.221,12,-2.4,1.9,12.6,1.59,VERDADERO
69,Stiff clay,Auger,16,24,16,10.00,62,19.3,9.6,9.4,203,25.4,0,25,413.7,7,65,6,1.5,1,15,0.15,43.5,0.221,14,-2.9,1.8,12.3,1.55,VERDADERO
70,Stiff clay,Auger,16,24,16,10.00,62,19.3,9.6,9.4,203,25.4,0,25,413.7,8,65,7,1.5,1,15,0.15,63,0.222,16,-3.3,1.8,11.7,1.52,VERDADERO
71,Stiff clay,Auger,16,24,16,10.00,62,19.3,9.6,9.4,203,25.4,0,25,413.7,9,65,8,1.5,1,15,0.15,83.4,0.223,18,-3.7,1.8,11.6,1.46,VERDADERO
72,Stiff clay,Auger,16,24,16,10.00,62,19.3,9.6,9.4,203,25.4,0,25,413.7,10,65,9,1.5,1,15,0.15,102.3,0.222,20,-4.1,1.8,11.4,1.43,VERDADERO
73,Fine colluvium,Rotary drilling,17.5,32,21.3,5.00,151,42.2,29.4,41.1,203,25.4,0,25,413.7,3,55,3,2,1,10,0.1,58.9,0.078,0,-2,3.7,64.2,2.2,VERDADERO
74,Fine colluvium,Rotary drilling,17.5,32,21.3,5.00,151,42.2,29.4,41.1,203,25.4,0,25,413.7,4,55,3,2,1,10,0.1,58.9,0.078,0,-2.6,3.1,58.6,1.79,VERDADERO
75,Fine colluvium,Rotary drilling,17.5,32,21.3,5.00,151,42.2,29.4,41.1,203,25.4,0,25,413.7,5,55,4,2,1,10,0.1,106.9,0.078,0,-3.3,3,56.8,1.73,VERDADERO
76,Fine colluvium,Rotary drilling,17.5,32,21.3,5.00,151,42.2,29.4,41.1,203,25.4,0,25,413.7,6,55,5,2,1,10,0.1,116.5,0.079,0,-4,3.1,57,1.69,VERDADERO
77,Fine colluvium,Rotary drilling,17.5,32,21.3,5.00,151,42.2,29.4,41.1,203,25.4,0,25,413.7,7,55,6,2,1,10,0.1,116.5,0.079,0,-4.6,2.9,55.6,1.69,VERDADERO
78,Fine colluvium,Rotary drilling,17.5,32,21.3,5.00,151,42.2,29.4,41.1,203,25.4,0,25,413.7,8,55,7,2,1,10,0.1,116.5,0.079,0,-5.3,3,56.2,1.68,VERDADERO
79,Fine colluvium,Rotary drilling,17.5,32,21.3,5.00,151,42.2,29.4,41.1,203,25.4,0,25,413.7,9,55,8,2,1,10,0.1,116.5,0.079,0,-5.9,2.9,54.8,1.6,VERDADERO
80,Fine colluvium,Rotary drilling,17.5,32,21.3,5.00,151,42.2,29.4,41.1,203,25.4,0,25,413.7,10,55,9,2,1,10,0.1,116.5,0.079,0,-6.6,3,55.6,1.58,VERDADERO
81,Dense moraine,Driven casing,19.5,42,28,1.50,482,93.7,85.4,155.5,203,25.4,0,25,413.7,3,80,3,1.8,1.5,20,0.5,116.5,0.125,3,-0.4,4.1,104.2,2.1,VERDADERO
82,Dense moraine,Driven casing,19.5,42,28,1.50,482,93.7,85.4,155.5,203,25.4,0,25,413.7,4,80,3,1.8,1.5,20,0.5,116.5,0.125,4,-0.6,3.2,87.4,1.97,VERDADERO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
